backend architecture,use case,heap,concurrency,garbage collector,workload,average_latency,min_latency,max_latency,percentile_10,percentile_20,percentile_50,percentile_90,percentile_99,percentile_999,percentile_9999,percentile_99999,percentile_999999,percentile_9999999,throughput,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,tps,rtps,wtps,bread/s,bwrtn/s,dentunusd,file-nr,inode-nr,pty-nr,proc/s,cswch/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
nio,io,7g,200,UseParallelGC,100,8.680334475057316,0,205,2.0,3.0,6.0,17.0,43.0,89.0,130.0,163.0,188.0,205.0,22945.806666666667,7160.5,23.623,605,42.258,2357.405,0.00419,0.00239,0.07192,0.00403,0.07192,1.84,0.07,1.77,99.69,1,439,102844.773,584329.464,8412.452,80.44,0.00,9.78,0.00,0.07,0.00,4.50,0.00,0.00,5.20,4035367,3622249,47.30,68600,678690,8459873,110.48,2921196,529434,92,2707079,112866,5194,9362,0,0,0,0.00,0,0.00,0.53,0.00,0.53,0.00,9.54,45715,1338,47334,0,0.06,8563.18,9,311,8.17,8.16,7.56,0,23657.12,24008.17,7097.67,6683.59,0.00,0.00,0.00,0.58
nio,io,7g,100,UseParallelGC,100,4.772271734097019,0,212,1.0,2.0,3.0,9.0,27.0,73.0,114.0,160.0,174.0,207.6298593962565,20810.196666666667,7163.5,23.62,597,39.1,2363.408,0.00314,0.00176,0.07354,0.00296,0.07354,1.25,0.07,1.18,99.79,1,398,93469.327,798097.989,8118.285,78.96,0.00,10.08,0.00,0.12,0.00,4.21,0.00,0.00,6.62,4025610,3632006,47.43,68808,679023,8463268,110.52,2930736,529420,82,2716057,112641,5184,9339,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,9.86,45799,1225,47244,0,0.01,10027.87,9,310,8.51,8.10,7.73,0,21157.48,21276.97,6409.75,6025.99,0.00,0.00,0.00,0.53
nio,io,7g,50,UseParallelGC,100,2.4549490771026856,0,213,1.0,1.0,2.0,4.0,16.0,66.0,103.0,137.0,205.0,212.39603799954057,20132.07,7165.5,23.619,539,37.54,2367.154,0.0025,0.00149,0.07033,0.00232,0.07033,0.96,0.07,0.89,99.84,1,383,89981.397,1021001.49,7663.914,73.66,0.00,10.88,0.00,0.25,0.00,4.57,0.00,0.00,10.65,4014446,3643170,47.58,69005,679346,8457980,110.45,2942934,529420,79,2727725,112567,5184,9369,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,10.02,45881,1163,47203,0,0.01,15967.63,9,310,7.51,7.74,7.73,0,20308.68,20369.91,6188.68,5816.34,0.00,0.00,0.00,0.51
nio,io,7g,20,UseParallelGC,100,1.0457693928535672,0,202,0.0,0.0,1.0,1.0,9.0,44.0,72.0,96.0,119.49892800115049,171.8490351960063,18611.71,7167,23.619,602,36.434,2368.575,0.00211,0.00136,0.07344,0.00191,0.07344,0.75,0.07,0.68,99.88,1,355,83610.322,1239063.378,8197.212,71.26,0.00,13.12,0.00,0.33,0.00,5.00,0.00,0.00,10.28,4025050,3632566,47.44,69210,679665,8453508,110.39,2933512,529420,79,2717777,112591,5195,9313,0,0,0,0.00,0,0.00,0.53,0.00,0.53,0.00,9.76,45963,1154,47182,0,0.03,28064.03,7,311,7.82,7.54,7.52,0,18684.42,18717.81,5713.81,5369.49,0.00,0.00,0.00,0.47
nio,io,7g,10,UseParallelGC,100,0.5804344737161774,0,204,0.0,0.0,1.0,1.0,3.0,8.0,17.0,46.0,81.0,203.01049039885402,16491.83,7167.5,23.62,570,36.117,2367.109,0.00209,0.00133,0.07405,0.00186,0.07405,0.66,0.07,0.59,99.89,1,317,74486.918,1271848.833,7697.616,65.14,0.00,16.03,0.00,0.44,0.00,4.61,0.00,0.00,13.77,4048130,3609486,47.14,69410,679982,8458380,110.46,2909064,529420,86,2692809,112978,5186,9341,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,10.42,46041,1139,47177,0,0.02,58253.01,5,310,6.45,6.50,6.92,0,16529.41,16519.13,5060.76,4753.51,0.00,0.00,0.00,0.41
nio,io,7g,1,UseParallelGC,100,0.25034758067578,0,23,0.0,0.0,0.0,1.0,1.0,1.0,5.0,21.0,22.893783000065014,23.0,3687.3933333333334,7167,23.62,593,35.532,2299.784,0.00367,0.00127,0.07162,0.00275,0.07162,0.28,0.07,0.2,99.95,1,74,16972.195,836068.11,8280.041,0.41,0.00,0.44,0.00,0.75,0.00,0.03,0.00,0.00,98.37,4040890,3616726,47.23,69605,680283,8458932,110.46,2917749,529419,76,2701020,112855,5196,9275,0,0,0,0.00,0,0.00,0.52,0.00,0.52,0.00,9.20,46126,1084,47179,0,0.02,29669.14,1,311,0.00,1.31,4.05,0,3692.88,3692.13,1131.56,1063.00,0.00,0.00,0.00,0.09
nio,io,7g,600,UseParallelGC,10,25.53772128496939,0,412,8.0,12.0,22.0,45.0,93.0,164.0,231.0,340.6411199979484,367.0,381.0505231805146,23446.576666666668,7147,23.608,574,59.947,2326.618,0.00923,0.0046,0.07404,0.00909,0.07404,4.1,0.07,4.02,99.32,1,443,102482.413,256082.736,7752.943,82.15,0.00,9.64,0.00,0.04,0.00,4.58,0.00,0.00,3.59,4020552,3637064,47.50,69802,680604,8458328,110.46,2933529,529412,90,2716281,114257,5184,9358,0,0,0,0.00,0,0.00,0.66,0.00,0.66,0.00,10.92,46206,1740,47789,0,0.04,7494.02,10,310,9.36,7.22,5.56,0,25560.65,31617.00,5311.74,5211.54,0.00,0.00,0.00,0.44
nio,io,7g,500,UseParallelGC,10,21.654520105777323,0,328,7.0,10.0,18.0,39.0,84.0,148.0,223.0,275.0,328.0,328.0,23043.376666666667,7151,23.619,597,60.414,2336.447,0.00791,0.00462,0.08407,0.00774,0.08407,3.45,0.08,3.37,99.43,1,435,101042.668,301904.163,7101.141,82.31,0.00,9.38,0.00,0.04,0.00,4.47,0.00,0.00,3.80,4011804,3645812,47.61,70005,680933,8458685,110.46,2943178,529407,85,2725396,113979,5190,9396,0,0,0,0.00,0,0.00,0.60,0.00,0.60,0.00,10.20,46294,1654,47705,0,0.05,7576.17,9,310,9.65,9.02,7.33,0,24802.06,28670.67,5192.02,4964.21,0.00,0.00,0.00,0.43
nio,io,7g,200,UseParallelGC,10,8.423292370820025,0,246,2.0,3.0,6.0,16.0,42.0,97.0,145.0,189.0,234.0,242.45407549571246,23639.5,7160,23.619,570,41.851,2357.53,0.0043,0.00244,0.07395,0.00415,0.07395,1.91,0.07,1.84,99.68,1,443,103781.862,568386.006,7707.952,81.60,0.00,9.55,0.00,0.06,0.00,4.40,0.00,0.00,4.39,4028282,3629334,47.40,70210,681267,8459288,110.47,2928842,529405,88,2710513,113146,5200,9336,0,0,0,0.00,0,0.00,0.61,0.00,0.61,0.00,10.58,46373,1340,47408,0,0.02,7367.07,10,311,8.81,8.55,7.84,0,24343.41,24695.64,5231.14,4781.30,0.00,0.00,0.00,0.43
nio,io,7g,100,UseParallelGC,10,4.398144718073363,0,220,1.0,2.0,3.0,8.0,24.0,76.0,116.0,162.0,184.0,213.22712199762464,22576.263333333332,7164,23.62,568,39.12,2364.66,0.00314,0.00178,0.08542,0.00295,0.08542,1.33,0.09,1.24,99.78,1,421,98833.959,802625.744,6649.232,77.68,0.00,10.39,0.00,0.15,0.00,4.43,0.00,0.00,7.36,4028705,3628911,47.39,70410,681889,8459908,110.48,2928998,529660,77,2710085,112806,5196,9370,0,0,0,0.00,0,0.00,0.60,0.00,0.60,0.00,9.67,46458,1231,47320,0,0.06,10929.02,9,311,8.05,8.23,8.03,0,22936.83,23052.37,4970.67,4531.58,0.00,0.00,0.00,0.41
