backend architecture,use case,heap,concurrency,garbage collector,workload,average_latency,min_latency,max_latency,percentile_10,percentile_20,percentile_50,percentile_90,percentile_99,percentile_999,percentile_9999,percentile_99999,percentile_999999,percentile_9999999,throughput,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,tps,rtps,wtps,bread/s,bwrtn/s,dentunusd,file-nr,inode-nr,pty-nr,proc/s,cswch/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
nio,cpu,7g,10,UseParallelGC,500,77.60968159461558,24,228,35.0,46.0,74.0,122.0,164.0,196.37100000000646,215.54839999997057,226.06854999998905,227.806854999988,227.98068549997697,128.76666666666668,7167.5,23.623,579,37.212,2374.645,0.00184,0.0013,0.07072,0.0017,0.07072,0.93,0.07,0.85,99.85,1,502,118361.857,1394522.556,8186.696,99.06,0.00,0.51,0.00,0.00,0.00,0.07,0.00,0.00,0.37,3988565,3669051,47.91,81185,727301,8448692,110.33,2962531,534056,89,2691831,115725,5184,9296,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,10.26,51323,1161,47765,0,0.01,1756.47,11,310,10.24,13.12,29.11,0,163.21,274.75,30.27,34.15,0.00,0.00,0.00,0.00
nio,cpu,7g,1,UseParallelGC,500,14.550145772594751,14,31,14.0,14.0,14.0,15.0,17.0,19.0,27.0,30.382630000000063,30.938263000000006,30.993826299996726,68.6,7167.5,23.618,619,36.296,2363.821,0.00203,0.00124,0.0753,0.00175,0.0753,0.55,0.08,0.47,99.91,1,269,63135.826,1347906.714,8220.746,24.64,0.00,0.35,0.00,0.01,0.00,0.00,0.00,0.00,74.99,3966963,3690653,48.20,81359,727620,8461584,110.50,2982702,534058,83,2711489,116081,5184,9333,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,10.35,51405,1107,47765,0,0.06,724.27,1,310,0.99,3.43,16.36,0,72.30,71.30,14.86,13.26,0.00,0.00,0.00,0.00
nio,cpu,7g,600,UseParallelGC,100,310.96900270474055,2,1822,147.0,202.0,295.0,498.0,708.0,908.0,1318.1756999999052,1631.6527099999366,1810.4351400006562,1820.8435139996,1927.48,7139,23.619,550,73.752,2315.382,0.01394,0.00818,0.07298,0.01381,0.07298,6.63,0.07,6.56,98.9,1,475,109141.309,167619.802,7536.105,97.99,0.00,1.01,0.00,0.00,0.00,0.46,0.00,0.00,0.54,3964881,3692735,48.22,81526,727951,8453760,110.40,2980704,534056,86,2709001,117944,5184,9319,0,0,0,0.00,0,0.00,0.52,0.00,0.52,0.00,10.74,51484,1760,48377,0,0.01,3039.59,78,310,93.59,72.09,43.44,0,3872.40,4994.99,576.85,577.51,0.00,0.00,0.00,0.05
nio,cpu,7g,500,UseParallelGC,100,254.65969817741544,2,1197,111.0,157.0,240.0,422.0,607.0,776.0,919.0,1084.6667200000957,1168.7333760000765,1194.1733376011252,1962.9633333333334,7144,23.615,599,63.771,2326.809,0.01232,0.00729,0.09482,0.01215,0.09482,5.93,0.09,5.83,99.02,1,480,110805.005,191505.533,6317.293,98.17,0.00,0.92,0.00,0.00,0.00,0.40,0.00,0.00,0.51,3954065,3703551,48.36,81690,728287,8452224,110.38,2992813,534060,77,2720626,117540,5184,9332,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,9.94,51569,1661,48287,0,0.01,3138.54,76,310,73.49,71.17,56.49,0,3595.82,4861.47,557.22,571.12,0.00,0.00,0.00,0.05
nio,cpu,7g,200,UseParallelGC,100,105.2176347746736,1,789,17.0,30.0,87.0,223.0,377.0,504.1610000000801,634.0160999998916,746.0160999996588,788.4301609999966,788.9430160999764,1899.4666666666667,7159.5,23.618,547,44.932,2357.34,0.0055,0.00345,0.08744,0.00533,0.08744,2.53,0.09,2.44,99.58,1,458,107199.898,442673.709,6255.618,97.98,0.00,1.09,0.00,0.00,0.00,0.37,0.00,0.00,0.56,3963146,3694470,48.25,81867,728618,8453692,110.40,2986268,534057,84,2713580,116454,5185,9352,0,0,0,0.00,0,0.00,0.60,0.00,0.60,0.00,10.92,51648,1359,47990,0,0.02,4426.50,72,310,74.65,68.64,61.14,0,2571.06,3989.85,460.69,500.80,0.00,0.00,0.00,0.04
nio,cpu,7g,100,UseParallelGC,100,49.182225970309894,1,625,5.0,9.0,30.0,123.0,236.0,338.0,438.0504999998957,555.385849999031,614.0290900003165,623.9029089987744,2031.6533333333334,7163.5,23.618,608,40.548,2366.762,0.00355,0.00223,0.08299,0.00339,0.08299,1.73,0.08,1.65,99.71,1,487,114502.039,699131.009,7326.131,97.35,0.00,1.62,0.00,0.00,0.00,0.53,0.00,0.00,0.49,3979683,3677933,48.03,82039,728953,8454736,110.41,2970942,534057,81,2697741,116371,5187,9329,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,10.34,51734,1257,47901,0,0.02,7574.36,47,310,46.77,50.53,55.73,0,2373.12,3580.56,460.10,488.93,0.00,0.00,0.00,0.04
nio,cpu,7g,50,UseParallelGC,100,24.30118806096116,1,453,3.0,5.0,12.0,62.0,146.0,225.0,293.0,366.9032299990067,427.73871100111865,450.47387110011186,2053.766666666667,7166,23.618,564,38.032,2370.888,0.00271,0.00182,0.08902,0.00254,0.08902,1.33,0.09,1.25,99.78,1,491,115740.136,934480.793,6335.861,96.72,0.00,2.10,0.00,0.00,0.00,0.60,0.00,0.00,0.58,3977074,3680542,48.06,82193,729301,8457276,110.44,2973151,534057,86,2699436,116306,5184,9335,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,10.34,51813,1205,47857,0,0.02,9975.72,31,310,30.74,33.76,44.26,0,2225.92,2884.98,450.06,445.73,0.00,0.00,0.00,0.04
nio,cpu,7g,20,UseParallelGC,100,10.22461376392485,1,234,3.0,3.0,6.0,24.0,64.0,106.0,150.0,200.30509999999776,224.6440799999982,233.06440799869597,1949.1533333333334,7167,23.619,600,36.825,2372.971,0.00213,0.00139,0.06991,0.00199,0.06991,1,0.07,0.93,99.83,1,468,110281.193,1192610.073,8582.672,95.12,0.00,2.96,0.00,0.01,0.00,0.89,0.00,0.00,1.02,3966717,3690899,48.20,82344,729636,8465664,110.55,2982662,534056,91,2708468,116469,5184,9336,0,0,0,0.00,0,0.00,0.67,0.00,0.67,0.00,10.79,51895,1167,47836,0,0.02,12259.01,16,310,15.14,18.76,31.35,0,2019.03,2155.34,419.11,384.93,0.00,0.00,0.00,0.03
nio,cpu,7g,10,UseParallelGC,100,4.869406019826559,1,120,2.0,3.0,4.0,9.0,24.0,45.0,69.0,90.0,105.30458400025964,118.53045840002596,2041.0333333333333,7167.5,23.621,567,36.458,2374.053,0.00198,0.00135,0.08407,0.00182,0.08407,0.98,0.08,0.9,99.84,1,493,116209.853,1306196.765,6744.46,93.87,0.00,2.77,0.00,0.02,0.00,0.60,0.00,0.00,2.75,3972825,3684791,48.12,82503,729973,8459752,110.48,2976477,534060,79,2701783,116488,5184,9315,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,10.29,51980,1122,47838,0,0.01,15147.96,9,310,8.59,10.41,20.81,0,2076.23,2074.32,435.59,391.07,0.00,0.00,0.00,0.04
nio,cpu,7g,1,UseParallelGC,100,1.129391641834547,1,46,1.0,1.0,1.0,2.0,2.0,3.0,4.0,15.0,42.349499999778345,45.634949999977835,869.17,7167.5,23.622,600,35.956,2357.276,0.00233,0.00124,0.08648,0.00193,0.08648,0.5,0.09,0.41,99.92,1,212,49704.886,1222516.65,6937.964,20.12,0.00,0.56,0.00,0.15,0.00,0.01,0.00,0.00,79.15,3976894,3680722,48.07,82667,730292,8453360,110.39,2972602,534061,89,2697413,116627,5185,9275,0,0,0,0.00,0,0.00,0.51,0.00,0.51,0.00,9.23,52057,1129,47833,0,0.00,7121.60,1,310,0.88,2.80,11.84,0,872.78,871.77,184.50,165.70,0.00,0.00,0.00,0.02
nio,cpu,7g,600,UseParallelGC,10,34.47633925986318,0,356,21.0,26.0,32.0,50.0,78.0,118.0,315.0,347.0,355.0,355.47846949938685,17384.353333333333,7136,23.62,656,68.558,2307.637,0.01285,0.0066,0.0746,0.01271,0.0746,5.65,0.07,5.58,99.06,1,439,100653.098,181623.302,8793.648,86.01,0.00,8.28,0.00,0.01,0.00,3.93,0.00,0.00,1.77,3946687,3710929,48.46,82829,730610,8454600,110.41,2998465,534056,76,2722779,118319,5195,9336,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,9.62,52139,1751,48445,0,0.02,6402.84,10,311,9.26,7.58,9.71,0,19489.54,26583.08,3849.02,3900.12,0.00,0.00,0.00,0.32
nio,cpu,7g,500,UseParallelGC,10,29.007773744308327,0,231,18.0,22.0,27.0,42.0,68.0,103.0,155.0,209.0,214.0,229.45063109882176,17215.213333333333,7143,23.617,561,60.071,2319.586,0.01099,0.00524,0.08545,0.01082,0.08545,4.76,0.09,4.67,99.21,1,432,99617.741,214466.673,6564.889,86.28,0.00,8.11,0.00,0.02,0.00,3.73,0.00,0.00,1.86,3955342,3702274,48.35,82994,730937,8455736,110.42,2991132,534056,83,2714983,117941,5187,9332,0,0,0,0.00,0,0.00,0.53,0.00,0.53,0.00,9.76,52222,1651,48354,0,0.00,6247.27,10,310,9.30,8.64,9.15,0,18967.86,22718.67,3782.67,3627.43,0.00,0.00,0.00,0.31
nio,cpu,7g,200,UseParallelGC,10,11.39965820047219,0,232,6.0,7.0,10.0,18.0,36.0,83.0,144.0,199.0,218.0,232.0,17485.883333333335,7158.5,23.631,634,43.801,2354.45,0.00533,0.00326,0.07013,0.00518,0.07013,2.32,0.07,2.25,99.62,1,434,101427.049,454808.432,9040.611,86.73,0.00,7.41,0.00,0.03,0.00,3.40,0.00,0.00,2.44,3968164,3689452,48.18,83153,731267,8453844,110.40,2980450,534059,79,2703838,116856,5184,9341,0,0,0,0.00,0,0.00,0.53,0.00,0.53,0.00,9.22,52308,1356,48065,0,0.05,4692.33,10,310,9.76,9.25,9.15,0,18196.22,18267.47,3750.23,3368.13,0.00,0.00,0.00,0.31
nio,cpu,7g,100,UseParallelGC,10,5.855733218686628,0,218,2.0,3.0,4.0,11.0,30.0,86.0,135.0,177.0,204.0,211.3779183011502,16979.7,7163,23.619,522,39.602,2363.864,0.00342,0.00209,0.07098,0.00326,0.07098,1.43,0.07,1.36,99.76,1,418,98176.947,725102.728,7354.195,83.41,0.00,7.69,0.00,0.08,0.00,3.31,0.00,0.00,5.51,3967538,3690078,48.19,83328,731600,8460881,110.49,2981855,534060,89,2704719,116726,5184,9318,0,0,0,0.00,0,0.00,0.48,0.00,0.48,0.00,9.08,52390,1232,47973,0,0.01,7794.15,10,310,9.64,9.44,9.25,0,17335.55,17424.48,3612.63,3248.05,0.00,0.00,0.00,0.30
nio,cpu,7g,50,UseParallelGC,10,3.1212560502077507,0,194,1.0,1.0,2.0,6.0,22.0,75.0,118.0,152.0,175.43064500484616,194.0,15879.62,7165.5,23.62,569,37.621,2367.373,0.00253,0.00156,0.07042,0.00235,0.07042,0.99,0.07,0.92,99.84,1,391,91904.184,1005689.604,8079.563,77.99,0.00,8.50,0.00,0.17,0.00,3.39,0.00,0.00,9.95,3958365,3699251,48.31,83484,731926,8454136,110.40,2991297,534060,75,2713667,116487,5184,9325,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.89,52469,1162,47929,0,0.05,13374.62,9,310,7.75,8.26,8.76,0,16049.03,16114.35,3363.45,3023.90,0.00,0.00,0.00,0.28
nio,cpu,7g,20,UseParallelGC,10,1.3977028436018957,0,202,1.0,1.0,1.0,2.0,7.0,38.0,78.0,106.0,135.58001099526882,189.76200288254768,14066.666666666666,7167,23.62,583,36.537,2367.402,0.00224,0.00132,0.0721,0.00204,0.0721,0.78,0.07,0.71,99.87,1,346,81326.553,1161665.594,8086.463,66.44,0.00,10.71,0.00,0.31,0.00,3.23,0.00,0.00,19.31,3968928,3688688,48.17,83659,732251,8461840,110.50,2980636,534056,81,2702488,116552,5185,9300,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.73,52549,1145,47906,0,0.00,27316.90,8,310,5.81,6.36,7.52,0,14141.23,14147.72,2974.14,2671.16,0.00,0.00,0.00,0.24
nio,cpu,7g,10,UseParallelGC,10,0.9240442352253975,0,132,0.0,0.0,1.0,1.0,9.0,36.0,60.0,78.0,99.34511199966073,123.1415783893317,10545.743333333334,7167.5,23.619,573,36.078,2362.349,0.0023,0.00133,0.07112,0.00204,0.07112,0.6,0.07,0.53,99.9,1,262,61475.837,1159395.983,8057.032,42.55,0.00,6.06,0.00,0.92,0.00,1.90,0.00,0.00,48.57,3969224,3688392,48.17,83802,732564,8461344,110.50,2980941,534056,92,2702342,116489,5187,9307,0,0,0,0.00,0,0.00,0.47,0.00,0.47,0.00,8.77,52636,1140,47910,0,0.01,38123.86,7,310,4.59,4.91,6.15,0,10580.37,10587.16,2227.40,2000.73,0.00,0.00,0.00,0.18
nio,cpu,7g,1,UseParallelGC,10,0.2712791820533102,0,203,0.0,0.0,0.0,1.0,1.0,1.0,5.0,22.0,68.6327199981315,189.29589279170614,3434.616666666667,7167.5,23.619,545,35.558,2313.75,0.0036,0.00129,0.086,0.00266,0.086,0.32,0.09,0.23,99.95,1,88,20262.559,870235.382,6336.996,0.50,0.00,0.46,0.00,0.70,0.00,0.04,0.00,0.00,98.28,3970412,3687204,48.15,83957,732867,8463908,110.53,2978716,534056,77,2699689,116721,5196,9329,0,0,0,0.00,0,0.00,0.54,0.00,0.54,0.00,9.76,52715,1114,47907,0,0.06,27590.53,2,311,0.03,1.03,3.55,0,3433.03,3432.15,723.70,649.90,0.00,0.00,0.00,0.06
oio,cpu,7g,600,UseParallelGC,500,5053.468781611779,4004,6395,5006.0,5007.0,5012.0,5045.0,6023.0,6160.4130000000005,6373.0,6395.0,6395.0,6395.0,118.62666666666667,7133.5,23.675,573,395.412,2268.044,0.01978,0.00686,0.08369,0.01965,0.08369,9.53,0.08,9.45,98.43,1,481,107653.304,115440.549,6846.5,98.67,0.00,0.59,0.00,0.00,0.00,0.20,0.00,0.00,0.53,3514861,4142755,54.10,84094,733189,8957265,116.97,3419098,534052,97,3139622,120762,15022,11197,0,0,0,0.00,0,0.00,0.45,0.00,0.45,0.00,9.09,52800,1674,48494,0,0.03,2905.38,87,925,78.55,60.23,31.78,0,950.05,713.34,97.07,66.27,0.00,0.00,0.00,0.01
oio,cpu,7g,500,UseParallelGC,500,3955.5647952722666,3002,5019,4004.0,4005.0,4007.0,4017.0,4208.970000000001,4348.0,4560.209699999999,5013.693579999948,5018.469357999944,5018.946935799933,126.34666666666666,7140,23.675,604,377.97,2289.423,0.01668,0.01051,0.07193,0.01657,0.07193,8.59,0.07,8.52,98.58,1,514,116398.85,138128.702,8397.321,98.65,0.00,0.65,0.00,0.00,0.00,0.19,0.00,0.00,0.50,3557892,4099724,53.54,84247,733525,8848296,115.55,3378548,534048,83,3098568,119789,13456,10941,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.89,52882,1570,48403,0,0.01,2902.51,88,827,85.75,79.44,55.63,0,1011.07,758.79,103.31,70.50,0.00,0.00,0.00,0.01
oio,cpu,7g,200,UseParallelGC,500,1593.0953811790357,1000,3004,1002.0,1002.0,2002.0,2007.0,2042.0,2358.3940000000075,2532.0,2850.9435799990533,2988.6943580007937,3002.4694357983026,125.35666666666667,7158.5,23.675,562,284.394,2310.77,0.00809,0.00435,0.073,0.00796,0.073,3.97,0.07,3.9,99.34,1,490,112217.954,290267.376,7698.704,98.87,0.00,0.52,0.00,0.00,0.00,0.16,0.00,0.00,0.44,3650146,4007470,52.33,84414,733863,8610188,112.44,3293095,534048,81,3012607,117916,9696,10352,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.89,52964,1276,48112,0,0.01,2372.59,85,592,83.53,82.13,68.44,0,710.28,585.72,77.16,57.29,0.00,0.00,0.00,0.01
oio,cpu,7g,100,UseParallelGC,500,1002.1619228970402,1000,1150,1001.0,1001.0,1002.0,1003.0,1010.0,1045.2010000000082,1134.0870999999752,1149.102009999995,1149.9102009999951,1149.9910200999984,99.78,7162.5,23.675,602,242.599,2309.626,0.00546,0.00381,0.07123,0.00529,0.07123,2.18,0.07,2.11,99.64,1,398,91402.884,436532.955,8451.258,76.09,0.00,0.58,0.00,0.01,0.00,0.09,0.00,0.00,23.23,3746985,3910631,51.07,84542,734193,8453364,110.39,3199444,534048,82,2918484,117381,7113,9913,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,10.08,53044,1142,48019,0,0.02,1556.25,10,431,7.45,23.53,46.01,0,448.91,399.22,51.34,40.55,0.00,0.00,0.00,0.00
oio,cpu,7g,50,UseParallelGC,500,1002.3961797902892,1000,1104,1001.0,1001.0,1002.0,1004.0,1012.0,1050.0840000000062,1087.0111999999936,1101.7541999999812,1103.7754199999872,1103.9775419999878,49.91,7165,23.633,583,211.789,2256.112,0.00574,0.00275,0.0724,0.00542,0.0724,1.19,0.07,1.12,99.8,1,206,46279.432,416483.616,8052.108,40.61,0.00,0.59,0.00,0.00,0.00,0.09,0.00,0.00,58.70,3770185,3887431,50.77,84700,734502,8393448,109.61,3177885,534048,83,2896450,116984,6288,9746,0,0,0,0.00,0,0.00,0.55,0.00,0.55,0.00,9.97,53128,1087,47980,0,0.02,947.00,9,379,7.18,8.52,26.68,0,224.59,199.66,25.69,20.28,0.00,0.00,0.00,0.00
oio,cpu,7g,20,UseParallelGC,500,1002.4048494983277,1000,1035,1001.0,1001.0,1002.0,1003.0,1011.0,1030.0,1034.4020999999993,1034.9402099999998,1034.9940209999995,1034.9994020999993,19.933333333333334,7164.5,23.674,577,214.282,2093.739,0.00905,0.00207,0.07307,0.00833,0.07307,0.81,0.07,0.74,99.86,1,89,18746.928,251447.049,7896.732,14.59,0.00,0.60,0.00,0.00,0.00,0.04,0.00,0.00,84.77,3811809,3845807,50.22,84856,734799,8347668,109.01,3137038,534050,90,2855184,116862,5584,9629,0,0,0,0.00,0,0.00,0.47,0.00,0.47,0.00,9.06,53210,1056,47959,0,0.02,471.05,4,335,0.16,1.88,14.34,0,90.10,80.10,10.30,8.13,0.00,0.00,0.00,0.00
oio,cpu,7g,10,UseParallelGC,500,1002.7167224080267,1000,1025,1001.0,1002.0,1002.0,1004.0,1013.0,1022.0,1025.0,1025.0,1025.0,1025.0,9.966666666666667,7110.5,23.675,615,217.915,1904.834,0.01436,0.00188,0.07031,0.01324,0.07031,0.73,0.07,0.66,99.88,1,50,9525.751,143824.89,8746.468,8.55,0.00,0.44,0.00,0.00,0.00,0.01,0.00,0.00,91.00,3781574,3876042,50.62,85007,735090,8321743,108.67,3167115,534048,89,2884776,116976,5264,9647,0,0,0,0.00,0,0.00,0.49,0.00,0.49,0.00,9.09,53292,1049,47958,0,0.02,291.73,2,315,0.80,0.71,7.57,0,45.12,40.12,5.16,4.07,0.00,0.00,0.00,0.00
oio,cpu,7g,1,UseParallelGC,500,1003.7357859531772,1002,1020,1002.0,1002.0,1003.0,1005.0,1014.06,1019.702,1019.9702,1019.99702,1019.9997020000001,1019.9999702,0.9966666666666667,7093.5,23.675,626,72.749,1639.601,0.0267,0.01221,0.06994,0.02053,0.06994,0.21,0.07,0.14,99.96,1,7,1193.166,79872.278,8951.041,0.60,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,98.84,4427251,3230365,42.18,85153,735375,8312440,108.55,2522887,534048,82,2240145,117059,5095,8425,0,0,0,0.00,0,0.00,0.49,0.00,0.49,0.00,9.41,53374,1027,47958,0,0.02,257.57,2,304,0.01,0.12,3.92,0,4.72,4.22,0.54,0.43,0.00,0.00,0.00,0.00
oio,cpu,7g,600,UseParallelGC,100,1002.8298516280781,1,1131,1001.0,1001.0,1002.0,1005.0,1025.0,1055.0,1116.0,1128.4117399999523,1130.8205869999947,1130.9820586999995,598.0466666666666,7139,23.675,604,346.848,2122.958,0.02236,0.01625,0.07753,0.02205,0.07197,3.67,0.07,3.59,99.39,1,163,34381.484,96274.363,8392.234,27.10,0.00,2.04,0.01,0.09,0.00,0.64,0.00,0.00,70.13,3553384,4104232,53.60,85306,735676,8954024,116.93,3380311,534052,78,3097129,120719,14978,11114,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,9.76,53456,1656,48566,0,0.03,6437.77,3,922,2.42,2.38,3.39,0,2692.84,2393.18,307.94,243.04,0.00,0.00,0.00,0.03
oio,cpu,7g,500,UseParallelGC,100,1002.0096229668142,2,1091,1001.0,1001.0,1002.0,1003.0,1010.0,1035.0,1080.035899999988,1091.0,1091.0,1091.0,498.8066666666667,7143.5,23.675,637,332.952,2104.552,0.02188,0.01407,0.0769,0.02152,0.07113,3.04,0.07,2.97,99.5,1,138,28900.493,97793.126,8956,20.79,0.00,2.08,0.00,0.09,0.00,0.68,0.00,0.00,76.36,3579173,4078443,53.26,85451,735974,8841865,115.46,3357388,534049,85,3073768,120078,13278,10859,0,0,0,0.00,0,0.00,0.48,0.00,0.48,0.00,9.49,53535,1547,48472,0,0.02,5727.74,3,816,1.09,1.86,2.77,0,2243.90,1994.34,256.62,202.56,0.00,0.00,0.00,0.02
oio,cpu,7g,200,UseParallelGC,100,1001.907391645388,4,1112,1001.0,1001.0,1002.0,1003.0,1005.0,1013.0,1100.057399999976,1112.0,1112.0,1112.0,199.73,7131,23.675,556,289.036,1886.196,0.02123,0.0074,0.08733,0.02042,0.07213,1.36,0.07,1.29,99.77,1,63,11855.656,92364.537,7708.411,8.99,0.00,1.31,0.00,0.05,0.00,0.35,0.00,0.00,89.30,3674706,3982910,52.01,85593,736265,8550756,111.66,3268373,534048,79,2984272,118270,8718,10187,0,0,0,0.00,0,0.00,0.48,0.00,0.48,0.00,8.96,53619,1253,48184,0,0.01,2480.12,2,531,0.22,0.71,1.75,0,899.16,799.18,102.82,81.14,0.00,0.00,0.00,0.01
oio,cpu,7g,100,UseParallelGC,100,1002.1390558226495,3,1115,1001.0,1001.0,1002.0,1003.0,1008.0,1036.0490000000027,1111.0097999999925,1114.7004899999993,1114.9700489999996,1114.9970048999967,99.84,6969.5,23.675,560,209.956,1751.075,0.02412,0.00504,0.07072,0.02278,0.07072,0.87,0.07,0.8,99.85,1,35,6184.611,76852.887,7918.675,4.35,0.00,0.92,0.00,0.02,0.00,0.16,0.00,0.00,94.55,3851317,3806299,49.71,85741,736549,8439440,110.21,3094247,534048,82,2809725,117717,6891,9683,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,8.96,53702,1151,48093,0,0.03,1307.70,2,417,0.27,0.34,1.02,0,449.76,399.69,51.42,40.58,0.00,0.00,0.00,0.00
oio,cpu,7g,50,UseParallelGC,100,1002.2801813212452,8,1066,1001.0,1001.0,1002.0,1003.0,1012.0,1052.0000000000018,1065.0,1065.8499999999985,1065.9849999999988,1065.9984999999997,50.00333333333333,6877.5,23.674,560,209.059,1699.598,0.03709,0.00506,0.08016,0.03483,0.08016,0.74,0.08,0.66,99.88,1,19,3263.095,48799.678,6986.159,2.36,0.00,0.67,0.00,0.01,0.00,0.08,0.00,0.00,96.88,4036703,3620913,47.29,85884,736842,8377828,109.41,2911011,534050,89,2626039,117533,6018,9232,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,10.40,53784,1109,48053,0,0.08,749.97,2,362,0.19,0.11,0.54,0,224.92,199.92,25.72,20.30,0.00,0.00,0.00,0.00
oio,cpu,7g,20,UseParallelGC,100,1002.3203333333333,1000,1056,1001.0,1001.0,1002.0,1003.0,1010.0,1044.001000000001,1056.0,1056.0,1056.0,1056.0,20.0,6869.5,23.631,588,225.127,1573.589,0.04434,0.0268,0.07314,0.04114,0.07314,0.44,0.07,0.37,99.92,1,9,1468.663,38247.204,8039.585,1.04,0.00,0.64,0.00,0.01,0.00,0.03,0.00,0.00,98.29,4093680,3563936,46.54,86032,737133,8340812,108.92,2855866,534048,81,2570480,117515,5429,9081,0,0,0,0.00,0,0.00,0.50,0.00,0.50,0.00,8.88,53866,1070,48032,0,0.02,432.41,2,325,0.05,0.10,0.32,0,90.17,80.18,10.31,8.14,0.00,0.00,0.00,0.00
oio,cpu,7g,10,UseParallelGC,100,1002.4343333333334,1000,1042,1001.0,1001.0,1002.0,1003.0,1012.0099999999998,1038.0010000000002,1041.7000999999996,1041.97001,1041.9970009999997,1041.9997000999997,10.0,6869.5,23.674,522,178.022,1462.886,0.04823,0.03083,0.07191,0.0435,0.07191,0.29,0.07,0.22,99.95,1,5,821.004,33630.083,7259.316,0.93,0.00,0.52,0.00,0.00,0.00,0.01,0.00,0.00,98.53,4294516,3363100,43.92,86178,737413,8327152,108.74,2655273,534048,85,2369473,117445,5284,8927,0,0,0,0.00,0,0.00,0.48,0.00,0.48,0.00,9.52,53948,1064,48030,0,0.00,313.01,2,316,0.01,0.02,0.16,0,45.11,40.11,5.16,4.07,0.00,0.00,0.00,0.00
oio,cpu,7g,1,UseParallelGC,100,1003.4648829431438,1001,1031,1002.0,1002.0,1003.0,1005.0,1014.0,1026.2320000000009,1030.5231999999996,1030.9523199999994,1030.9952320000002,1030.9995232,0.9966666666666667,6869.5,23.673,603,24.262,334.15,0.0465,0.02171,0.07129,0.02171,0.07129,0.09,0.07,0.02,0.31,1,1,215295.017,15393.386,8458.694,0.23,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,99.22,5771324,1886292,24.63,86319,737701,8313652,108.57,1181225,534052,83,895014,117534,5096,6151,0,0,0,0.00,0,0.00,0.43,0.00,0.43,0.00,8.19,54030,1034,48030,0,0.00,239.87,3,305,0.00,0.01,0.08,0,4.68,4.18,0.54,0.42,0.00,0.00,0.00,0.00
oio,cpu,7g,600,UseParallelGC,10,1001.9555600106924,0,2005,1001.0,1001.0,1002.0,1003.0,1012.0,1071.0,2000.0432999999903,2004.2043299999787,2005.0,2005.0,598.56,6869.5,23.63,563,327.536,1515.821,0.0598,0.02442,0.10403,0.0592,0.0754,1.61,0.08,1.54,99.73,1,26,4012.865,25603.845,7467.259,5.57,0.00,2.44,0.00,0.09,0.00,0.78,0.00,0.00,91.11,3629001,4028615,52.61,86486,737985,8943463,116.79,3305490,534052,88,3018811,120873,14892,10918,0,0,0,0.00,0,0.00,0.52,0.00,0.52,0.00,9.87,54112,1668,48639,0,0.05,5848.45,2,917,0.42,0.41,0.26,0,2697.43,2396.61,307.85,242.77,0.00,0.00,0.00,0.03
oio,cpu,7g,500,UseParallelGC,10,1001.5372649858073,0,1121,1001.0,1001.0,1002.0,1003.0,1005.0,1060.0,1095.4967999994988,1120.0,1120.8502759999828,1120.9850275999925,499.0833333333333,6869.5,23.674,590,307.515,1550.17,0.05921,0.01061,0.11313,0.05865,0.07138,1.36,0.07,1.29,99.77,1,22,3411.958,26429.316,8265.991,4.81,0.00,2.35,0.00,0.08,0.00,0.72,0.00,0.00,92.03,3749269,3908347,51.04,86643,738273,8855695,115.65,3187301,534050,84,2900158,120302,13333,10490,0,0,0,0.00,0,0.00,0.46,0.00,0.46,0.00,8.64,54192,1561,48545,0,0.06,4961.62,2,819,0.36,0.33,0.29,0,2247.91,1998.05,256.58,202.42,0.00,0.00,0.00,0.02
